27-02-2020 23.59;;11,284;MWh;446,585;M3;16368;h;61,5;c;31,2;c;0,6;kW;16;l/h;0;;0;;31,888;MWh;20,603;MWh;0;;0;;124;d;IZAR Plus Portal
27-02-2020 23.49;;14,568;MWh;623,604;M3;14976;h;61,2;c;26;c;0,8;kW;19;l/h;0;;0;;44,233;MWh;29,666;MWh;0;;0;;181;d;IZAR Plus Portal
27-02-2020 23.55;;12,673;MWh;380,329;M3;16704;h;58,6;c;26,8;c;0,8;kW;22;l/h;0;;0;;25,186;MWh;12,512;MWh;0;;0;;110;d;IZAR Plus Portal
27-02-2020 23.37;;17,435;MWh;737,901;M3;15744;h;62,9;c;38,4;c;2,4;kW;85;l/h;0;;0;;49,8;MWh;32,364;MWh;0;;0;;150;d;IZAR Plus Portal
27-02-2020 23.55;;12,28;MWh;440,207;M3;14760;h;61;c;23,8;c;2,4;kW;57;l/h;0;;0;;28,936;MWh;16,656;MWh;0;;0;;191;d;IZAR Plus Portal
27-02-2020 23.59;;14,162;MWh;602,261;M3;16368;h;63,7;c;54,1;c;1,6;kW;147;l/h;0;;0;;42,206;MWh;28,044;MWh;0;;0;;124;d;IZAR Plus Portal
27-02-2020 23.55;;13,587;MWh;411,923;M3;15696;h;62,3;c;25,5;c;1,8;kW;44;l/h;0;;0;;28,384;MWh;14,798;MWh;0;;0;;152;d;IZAR Plus Portal
27-02-2020 23.58;;9,988;MWh;418,37;M3;15744;h;64,4;c;52,1;c;1,9;kW;134;l/h;0;;0;;28,668;MWh;18,68;MWh;0;;0;;150;d;IZAR Plus Portal
27-02-2020 23.59;;20,603;MWh;652,385;M3;16896;h;63,6;c;38,9;c;2,7;kW;94;l/h;0;;0;;46,059;MWh;25,456;MWh;0;;0;;102;d;IZAR Plus Portal
27-02-2020 23.59;;13,967;MWh;425,84;M3;17184;h;62,1;c;28,6;c;2,3;kW;61;l/h;0;;0;;28,47;MWh;14,503;MWh;0;;0;;90;d;IZAR Plus Portal
27-02-2020 23.59;;15,714;MWh;429,729;M3;17208;h;62,3;c;24,3;c;1,3;kW;31;l/h;0;;0;;30,073;MWh;14,358;MWh;0;;0;;89;d;IZAR Plus Portal
27-02-2020 23.30;;13,842;MWh;646,03;M3;16200;h;59,8;c;31,8;c;1,7;kW;53;l/h;0;;0;;43,911;MWh;30,069;MWh;0;;0;;131;d;IZAR Plus Portal
27-02-2020 23.59;;14,401;MWh;609,594;M3;14952;h;63,2;c;51,4;c;1,7;kW;126;l/h;0;;0;;42,99;MWh;28,588;MWh;0;;0;;183;d;IZAR Plus Portal
27-02-2020 23.56;;16,976;MWh;606,26;M3;15096;h;62;c;37,2;c;2;kW;69;l/h;0;;0;;42,18;MWh;25,203;MWh;0;;0;;176;d;IZAR Plus Portal
27-02-2020 23.58;;14,547;MWh;472,9;M3;12480;h;62;c;28,9;c;1,9;kW;49;l/h;0;;0;;33,118;MWh;18,57;MWh;0;;0;;286;d;IZAR Plus Portal
27-02-2020 23.58;;15,891;MWh;561,378;M3;15288;h;62,5;c;25,9;c;1,6;kW;38;l/h;0;;0;;39,704;MWh;23,813;MWh;0;;0;;169;d;IZAR Plus Portal
27-02-2020 23.55;;16,092;MWh;505,171;M3;16008;h;64,6;c;35,3;c;1,4;kW;42;l/h;0;;0;;36,514;MWh;20,422;MWh;0;;0;;139;d;IZAR Plus Portal
27-02-2020 23.56;;8,293;MWh;258,623;M3;16344;h;61,7;c;44,4;c;1,4;kW;70;l/h;0;;0;;16,731;MWh;8,438;MWh;0;;0;;125;d;IZAR Plus Portal
27-02-2020 23.59;;10,404;MWh;339,743;M3;15096;h;62,2;c;25,4;c;1,5;kW;35;l/h;0;;0;;24,182;MWh;13,777;MWh;0;;0;;177;d;IZAR Plus Portal
27-02-2020 23.56;;15,872;MWh;494,523;M3;12672;h;62,9;c;34,5;c;1,2;kW;37;l/h;0;;0;;36,059;MWh;20,187;MWh;0;;0;;278;d;IZAR Plus Portal
27-02-2020 23.55;;17,048;MWh;531,625;M3;15096;h;64,1;c;51,1;c;2,4;kW;162;l/h;0;;0;;38,012;MWh;20,964;MWh;0;;0;;177;d;IZAR Plus Portal
